input,output
I love you,I love you too
what time is it,It's 3 pm
gerçek misin,sanalım ama gerçek gibiyim
seni seviyorum,Ben de seni seviyorum
I need help,How can I assist?
are you real,I'm a virtual assistant
where are you from,I'm from the cloud
adın ne,Benim adım Chatbot
good morning,good morning!
nerelisin,Ben bir yapay zekayım
are you real,I'm a virtual assistant
I need help,How can I assist?
iyi geceler,tatlı rüyalar
what's your name,My name is Chatbot
are you real,I'm a virtual assistant
görüşürüz,güle güle
nasılsın,iyiyim sen
are you real,I'm a virtual assistant
what's your name,My name is Chatbot
saat kaç,şu an 15:00
seni seviyorum,Ben de seni seviyorum
what's up,not much
good morning,good morning!
gerçek misin,sanalım ama gerçek gibiyim
iyi geceler,tatlı rüyalar
tell me a joke,Why don't scientists trust atoms? Because they make up everything!
nerelisin,Ben bir yapay zekayım
nasılsın,iyiyim sen
are you real,I'm a virtual assistant
seni seviyorum,Ben de seni seviyorum
I love you,I love you too
saat kaç,şu an 15:00
what's up,not much
bana bir şaka yap,"İki bilgisayar karşılaşmış, biri diğerine 'sende virüs var mı?' demiş."
hello,hi
seni seviyorum,Ben de seni seviyorum
teşekkürler,bir şey değil
iyi geceler,tatlı rüyalar
seni seviyorum,Ben de seni seviyorum
günaydın,sana da günaydın
I need help,How can I assist?
nerelisin,Ben bir yapay zekayım
how are you,I'm good
tell me a joke,Why don't scientists trust atoms? Because they make up everything!
nerelisin,Ben bir yapay zekayım
I love you,I love you too
what's up,not much
good night,sleep well
are you real,I'm a virtual assistant
nerelisin,Ben bir yapay zekayım
nasılsın,iyiyim sen
günaydın,sana da günaydın
teşekkürler,bir şey değil
what's up,not much
saat kaç,şu an 15:00
görüşürüz,güle güle
nerelisin,Ben bir yapay zekayım
nasılsın,iyiyim sen
gerçek misin,sanalım ama gerçek gibiyim
ne haber,pek bir şey yok
how old are you,I’m a bot so I don’t age
bana bir şaka yap,"İki bilgisayar karşılaşmış, biri diğerine 'sende virüs var mı?' demiş."
saat kaç,şu an 15:00
what's up,not much
are you real,I'm a virtual assistant
hello,hi
good night,sleep well
nerelisin,Ben bir yapay zekayım
hello,hi
saat kaç,şu an 15:00
bana bir şaka yap,"İki bilgisayar karşılaşmış, biri diğerine 'sende virüs var mı?' demiş."
ne haber,pek bir şey yok
hello,hi
saat kaç,şu an 15:00
seni seviyorum,Ben de seni seviyorum
how old are you,I’m a bot so I don’t age
how are you,I'm good
good morning,good morning!
what's up,not much
tell me a joke,Why don't scientists trust atoms? Because they make up everything!
good morning,good morning!
yardım eder misin,"elbet, nasıl yardımcı olabilirim"
seni seviyorum,Ben de seni seviyorum
